age,gender,job_role,experience_years,company_size,work_mode,work_hours_per_week,overtime_hours,meetings_per_day,deadlines_missed,job_satisfaction,manager_support,work_life_balance,sleep_hours,physical_activity_days,screen_time_hours,caffeine_intake,social_support_score,has_therapy,stress_level,anxiety_score,depression_score,burnout_score,burnout_level,seeks_professional_help
47,Male,QA Engineer,1.9,Large,Remote,38.0,7.0,3.0,1,4.0,6.9,3.4,7.1,1,10.9,3,1.0,1,6.1,6.6,3.7,1.7,Low,1
23,Female,Frontend Developer,3.9,Startup,Remote,60.0,5.0,0.0,1,4.2,3.0,3.3,4.7,7,6.3,2,2.5,0,8.8,5.7,5.3,4.5,Moderate,0
41,Male,ML Engineer,4.2,Startup,Hybrid,61.0,3.0,0.0,1,5.7,6.7,7.1,5.8,1,10.9,1,6.9,0,5.8,5.0,2.4,3.1,Low,0
49,Male,ML Engineer,5.0,Startup,Hybrid,47.0,7.0,1.0,0,8.2,5.2,4.6,8.0,0,7.3,2,3.4,0,4.2,5.0,1.0,2.6,Low,0
28,Male,Data Scientist,4.6,Mid-size,Hybrid,48.0,9.0,1.0,3,3.3,1.2,3.8,6.0,0,7.8,2,5.4,0,8.9,6.2,4.7,4.4,Moderate,0
29,Male,Software Engineer,4.4,Startup,Onsite,46.0,1.0,1.0,0,8.9,3.8,2.3,5.8,2,9.6,5,5.3,0,6.6,5.1,2.8,3.4,Low,0
35,Male,Software Engineer,2.4,Large,Hybrid,35.0,10.0,4.0,1,7.1,7.1,3.8,5.4,2,5.5,2,7.7,0,7.2,4.7,4.4,2.2,Low,0
38,Male,Software Engineer,2.5,MNC,Hybrid,55.0,12.0,6.0,1,4.6,5.4,6.8,6.0,3,5.6,4,6.2,0,6.3,3.8,3.7,3.1,Low,0
25,Male,ML Engineer,4.6,Startup,Onsite,43.0,4.0,2.0,3,5.9,3.7,3.1,6.3,6,7.7,0,10.0,0,6.3,2.7,3.3,1.8,Low,0
23,Male,Data Scientist,4.5,Startup,Hybrid,57.0,10.0,2.0,1,2.7,4.9,4.8,7.6,4,6.0,1,4.0,0,6.7,5.1,4.7,2.7,Low,0
27,Male,Data Scientist,5.7,Large,Onsite,50.0,8.0,6.0,0,7.0,3.3,5.4,4.9,3,11.2,0,1.8,0,6.4,5.8,5.2,4.0,Moderate,1
25,Male,Data Scientist,8.4,MNC,Hybrid,54.0,2.0,6.0,2,7.6,4.9,6.4,5.5,4,8.8,1,4.3,0,6.0,6.2,4.2,2.9,Low,0
50,Male,Software Engineer,0.6,MNC,Onsite,41.0,1.0,4.0,0,8.1,2.4,5.3,7.4,2,5.3,2,6.6,0,4.6,5.4,1.1,2.2,Low,0
39,Male,Product Manager,0.6,Startup,Remote,52.0,9.0,2.0,0,4.1,5.8,4.9,4.3,4,7.1,0,4.3,0,8.2,5.4,5.6,3.3,Low,1
47,Female,Software Engineer,6.9,Startup,Remote,52.0,7.0,4.0,2,7.9,5.6,5.5,5.2,3,7.0,4,4.8,0,6.0,4.0,3.2,1.3,Low,0
31,Female,Data Scientist,10.8,Large,Hybrid,49.0,13.0,1.0,3,6.5,4.8,4.6,6.8,5,10.1,1,5.9,0,5.5,4.1,2.1,1.2,Low,0
35,Male,Backend Developer,3.3,Mid-size,Hybrid,43.0,8.0,2.0,0,6.5,4.2,5.7,5.9,2,9.7,5,6.5,0,6.8,4.4,3.2,2.1,Low,0
52,Male,Product Manager,7.5,Large,Onsite,48.0,7.0,2.0,0,7.7,5.2,4.7,4.3,4,9.2,1,5.4,0,5.5,3.6,3.7,2.8,Low,0
36,Male,Backend Developer,6.1,MNC,Onsite,40.0,9.0,6.0,0,8.0,6.4,3.8,5.8,5,6.8,4,4.8,0,6.0,5.1,3.4,2.3,Low,0
29,Female,Frontend Developer,7.9,MNC,Onsite,49.0,12.0,5.0,0,2.8,2.4,3.8,6.4,0,7.4,1,3.4,1,7.7,7.7,4.3,4.8,Moderate,1
35,Male,Product Manager,7.5,Mid-size,Onsite,50.0,11.0,1.0,0,7.1,3.4,6.4,6.4,0,8.3,1,5.6,0,7.3,5.3,3.3,2.8,Low,0
44,Male,Software Engineer,8.2,Startup,Hybrid,39.0,10.0,2.0,1,5.6,5.5,5.2,4.2,4,9.6,2,6.8,1,7.4,5.7,2.9,2.1,Low,0
42,Male,Frontend Developer,0.0,Mid-size,Onsite,45.0,8.0,4.0,0,7.9,3.2,2.3,6.9,5,8.6,1,6.9,1,6.3,3.5,2.7,2.2,Low,0
37,Male,Product Manager,1.9,MNC,Onsite,40.0,7.0,5.0,2,2.1,3.0,1.6,8.0,2,10.4,1,7.3,0,6.9,5.9,5.0,3.7,Moderate,0
39,Male,Software Engineer,4.5,Startup,Hybrid,56.0,9.0,5.0,0,5.3,3.3,4.4,7.1,5,3.8,2,1.3,0,6.5,4.7,3.5,3.4,Low,0
45,Female,QA Engineer,4.4,MNC,Hybrid,51.0,3.0,2.0,3,5.3,7.5,3.9,9.5,3,6.1,2,7.0,0,4.5,3.6,2.8,1.0,Low,0
47,Female,Software Engineer,5.6,Startup,Hybrid,60.0,6.0,5.0,2,8.1,1.0,6.4,6.3,7,5.9,1,4.9,0,6.8,3.9,2.7,2.6,Low,0
46,Male,Software Engineer,7.8,MNC,Remote,41.0,0.0,3.0,0,5.9,3.8,4.1,3.7,5,10.9,3,3.7,0,7.2,5.8,5.5,2.3,Low,0
50,Female,ML Engineer,14.9,Large,Hybrid,54.0,2.0,3.0,0,3.1,8.9,3.5,7.1,0,11.0,5,8.2,1,5.5,4.7,2.0,1.3,Low,0
36,Male,Frontend Developer,7.8,Startup,Remote,52.0,9.0,5.0,5,4.9,2.1,3.6,5.1,5,9.7,3,9.3,0,9.1,4.4,5.5,4.1,Moderate,0
22,Female,Data Scientist,9.9,MNC,Remote,42.0,2.0,3.0,2,10.0,5.7,5.3,5.1,3,9.9,1,4.7,0,5.3,3.6,2.3,1.7,Low,0
46,Male,Software Engineer,1.9,Mid-size,Hybrid,51.0,7.0,4.0,1,4.6,3.9,5.9,5.1,4,4.7,2,4.0,1,6.1,3.6,2.6,1.0,Low,0
28,Male,Frontend Developer,0.0,Mid-size,Hybrid,47.0,5.0,7.0,1,4.3,3.6,6.1,6.5,1,9.0,2,7.7,0,5.8,4.0,3.3,1.9,Low,0
30,Female,Software Engineer,12.8,Mid-size,Hybrid,38.0,0.0,6.0,2,7.4,7.2,5.4,5.4,1,5.9,2,7.2,1,4.8,3.1,1.1,1.0,Low,0
45,Male,Software Engineer,3.7,MNC,Remote,54.0,7.0,3.0,1,5.9,5.2,4.4,7.3,2,8.1,2,4.9,0,5.6,5.1,3.1,3.3,Low,0
22,Male,Software Engineer,3.5,Mid-size,Hybrid,40.0,12.0,6.0,1,3.8,5.5,1.9,8.0,3,4.0,5,6.2,0,6.7,3.4,3.6,2.6,Low,1
29,Male,DevOps,1.5,MNC,Hybrid,36.0,16.0,4.0,1,6.3,4.4,2.9,6.9,3,4.8,2,1.2,0,7.3,5.1,3.8,3.8,Moderate,0
45,Male,Frontend Developer,5.4,Mid-size,Remote,44.0,8.0,5.0,2,6.1,8.3,1.5,5.2,3,6.5,1,5.6,0,6.1,4.5,2.0,1.5,Low,0
32,Male,QA Engineer,13.8,MNC,Onsite,42.0,10.0,4.0,2,4.9,6.1,4.5,5.7,4,8.3,4,6.4,0,6.9,5.3,3.4,2.7,Low,0
38,Male,DevOps,11.0,Large,Hybrid,34.0,4.0,3.0,0,7.5,5.4,8.6,5.1,4,7.3,1,4.8,1,2.9,2.2,1.0,1.0,Low,0
29,Male,Product Manager,6.3,Startup,Hybrid,39.0,4.0,7.0,3,7.3,8.7,6.8,5.0,2,9.9,3,5.8,0,4.7,4.8,3.0,1.5,Low,0
54,Male,Data Scientist,8.9,Startup,Onsite,40.0,12.0,0.0,5,5.2,4.1,5.9,5.0,3,10.8,2,6.0,0,6.3,4.2,4.7,2.9,Low,0
26,Female,Software Engineer,9.7,Large,Hybrid,35.0,4.0,6.0,1,1.1,6.0,3.6,8.6,3,6.4,0,4.0,0,4.2,4.7,2.9,1.0,Low,0
49,Male,Data Scientist,11.9,Large,Onsite,49.0,6.0,3.0,1,6.3,8.8,6.1,4.4,4,10.1,2,9.7,0,4.8,2.7,1.8,1.0,Low,0
28,Non-binary,Software Engineer,10.1,Mid-size,Onsite,51.0,10.0,2.0,5,4.3,3.7,7.1,4.9,1,8.3,3,5.0,0,7.3,4.9,4.0,3.1,Low,0
30,Male,ML Engineer,2.1,MNC,Remote,43.0,4.0,0.0,1,9.2,5.9,5.4,7.4,2,8.1,2,1.4,0,4.7,4.8,2.2,1.5,Low,0
29,Male,Data Scientist,9.1,MNC,Remote,51.0,15.0,5.0,3,8.2,7.9,1.0,7.3,5,4.5,1,7.1,1,7.4,4.3,1.9,2.7,Low,0
33,Female,DevOps,2.1,Startup,Onsite,49.0,0.0,4.0,4,9.1,4.7,6.1,5.2,0,4.0,3,6.6,0,5.7,5.4,3.1,2.8,Low,0
54,Male,Frontend Developer,3.4,MNC,Hybrid,51.0,13.0,3.0,1,7.9,3.9,4.0,7.4,4,8.3,1,6.7,0,6.2,3.8,3.6,3.9,Moderate,0
44,Male,Data Scientist,7.6,Startup,Hybrid,55.0,0.0,6.0,0,5.4,5.6,5.2,7.0,0,13.2,2,7.3,0,5.8,5.3,4.0,2.0,Low,0
45,Male,Product Manager,4.7,Large,Remote,36.0,4.0,4.0,1,4.5,5.0,4.7,5.9,3,9.9,3,4.6,0,5.1,3.5,2.4,2.1,Low,0
43,Male,Software Engineer,8.1,Mid-size,Hybrid,43.0,7.0,4.0,1,7.4,7.9,6.3,6.3,3,8.4,1,7.4,1,3.6,3.7,1.0,1.0,Low,0
48,Female,Backend Developer,10.6,Startup,Onsite,46.0,10.0,3.0,1,3.0,2.8,6.5,5.5,5,8.9,1,3.2,0,6.2,4.0,2.9,1.0,Low,0
22,Non-binary,Software Engineer,5.4,Mid-size,Hybrid,59.0,13.0,3.0,1,7.0,6.3,6.5,8.1,1,8.7,2,4.5,0,5.4,4.9,2.0,2.4,Low,0
35,Male,Software Engineer,10.7,MNC,Hybrid,62.0,14.0,3.0,2,5.7,5.4,7.4,6.7,1,9.3,3,6.1,0,5.3,5.4,2.8,4.4,Moderate,0
24,Male,DevOps,2.8,MNC,Remote,50.0,11.0,6.0,2,4.8,10.0,5.9,7.3,5,6.1,2,4.3,0,5.2,2.9,2.1,1.0,Low,0
22,Male,Backend Developer,1.1,Startup,Hybrid,50.0,0.0,1.0,0,6.8,8.2,5.2,5.4,4,7.7,1,7.0,0,7.1,2.6,2.4,1.8,Low,0
26,Male,Backend Developer,7.9,Startup,Remote,44.0,9.0,3.0,2,5.2,2.0,2.1,5.2,2,9.8,4,3.9,0,7.6,5.8,3.9,4.2,Moderate,0
47,Male,ML Engineer,4.5,Large,Hybrid,53.0,8.0,4.0,3,3.1,9.0,3.7,5.8,1,3.0,2,5.7,1,5.1,5.6,2.2,2.4,Low,1
35,Female,DevOps,6.0,Startup,Onsite,55.0,2.0,3.0,1,4.3,5.5,3.1,7.2,2,5.2,2,7.0,1,6.3,3.7,2.3,2.4,Low,0
48,Female,Software Engineer,1.6,Large,Onsite,56.0,8.0,1.0,4,5.0,7.7,5.1,6.7,3,8.7,2,6.1,0,6.7,4.8,5.1,3.6,Moderate,0
30,Non-binary,Product Manager,7.2,Large,Hybrid,46.0,1.0,5.0,0,3.6,8.0,4.2,5.9,2,11.4,2,5.9,1,5.7,5.3,3.0,2.0,Low,0
36,Male,Backend Developer,7.7,Mid-size,Hybrid,42.0,3.0,3.0,2,5.4,4.1,7.5,6.3,4,8.1,2,1.0,0,4.6,4.1,3.0,1.0,Low,0
36,Female,Backend Developer,4.0,MNC,Remote,47.0,8.0,1.0,0,9.2,5.9,5.4,6.2,3,6.1,5,4.9,0,5.4,4.7,1.8,1.8,Low,0
47,Non-binary,Software Engineer,2.6,Startup,Remote,38.0,12.0,5.0,0,5.9,6.7,3.9,6.5,3,8.0,1,10.0,0,4.7,1.7,2.2,1.2,Low,1
34,Male,Frontend Developer,1.6,Large,Remote,41.0,4.0,4.0,2,3.2,7.5,5.9,7.9,7,8.9,3,4.3,0,5.5,4.2,2.9,1.0,Low,0
53,Male,QA Engineer,8.5,Large,Hybrid,48.0,8.0,5.0,0,7.3,4.6,6.9,3.8,3,4.8,3,7.6,0,6.3,3.4,3.4,1.0,Low,0
53,Male,ML Engineer,0.9,MNC,Remote,53.0,5.0,4.0,0,8.9,5.9,3.2,6.3,2,9.0,3,3.4,0,5.5,4.9,1.6,2.3,Low,0
25,Female,Frontend Developer,8.7,MNC,Hybrid,51.0,9.0,5.0,1,7.4,2.0,6.2,4.5,1,8.5,2,3.5,0,6.3,6.9,2.8,4.0,Moderate,0
51,Female,Data Scientist,0.4,Large,Remote,44.0,9.0,0.0,1,6.4,5.5,5.9,7.0,2,10.4,0,8.2,0,5.1,4.5,2.6,2.4,Low,0
44,Female,Software Engineer,2.3,MNC,Remote,59.0,7.0,5.0,4,7.2,4.3,4.3,7.0,3,8.0,1,5.7,0,7.2,4.1,1.5,3.0,Low,0
36,Male,Data Scientist,0.5,Mid-size,Hybrid,46.0,7.0,6.0,0,5.8,6.7,2.6,9.5,2,6.1,1,1.8,0,5.1,5.2,1.6,2.1,Low,0
50,Female,Frontend Developer,5.1,Large,Onsite,50.0,12.0,4.0,2,7.5,4.9,5.7,6.4,6,8.5,2,8.0,0,6.2,2.9,1.8,1.8,Low,0
34,Male,DevOps,5.4,Startup,Onsite,62.0,0.0,3.0,3,4.6,3.2,8.3,6.9,6,8.4,5,5.7,0,5.9,4.1,3.3,2.7,Low,0
53,Female,Backend Developer,6.2,Mid-size,Hybrid,55.0,17.0,8.0,0,7.3,4.3,5.4,6.0,5,9.5,4,3.5,0,7.0,4.2,2.9,2.5,Low,1
28,Female,Software Engineer,9.6,MNC,Remote,49.0,5.0,5.0,2,3.4,4.7,3.3,7.2,4,3.0,3,8.3,0,6.9,3.2,3.1,3.2,Low,0
43,Non-binary,ML Engineer,10.9,Mid-size,Hybrid,41.0,8.0,7.0,3,3.3,3.8,3.4,6.8,4,10.4,3,4.1,1,5.6,4.6,2.6,1.0,Low,0
49,Male,DevOps,3.7,Mid-size,Onsite,42.0,8.0,3.0,2,7.5,5.2,10.0,7.0,2,8.3,3,7.6,1,3.9,2.4,1.2,1.0,Low,0
23,Male,ML Engineer,6.9,Startup,Remote,50.0,4.0,1.0,1,4.8,5.2,5.3,7.5,3,5.8,2,1.9,0,6.2,5.4,3.9,2.6,Low,1
27,Male,Software Engineer,3.5,MNC,Hybrid,39.0,3.0,4.0,5,4.0,8.4,1.0,6.9,5,10.4,2,4.1,0,5.9,5.9,3.9,2.6,Low,1
49,Male,Software Engineer,4.6,Startup,Onsite,52.0,5.0,4.0,1,5.5,2.7,9.9,4.8,7,5.0,4,4.2,1,4.9,2.2,1.2,1.0,Low,0
49,Male,Product Manager,13.0,Startup,Onsite,42.0,8.0,0.0,4,3.5,5.3,4.0,5.3,3,10.8,2,5.6,0,6.1,5.7,5.1,2.5,Low,0
41,Female,Frontend Developer,9.4,Startup,Hybrid,43.0,3.0,1.0,0,8.9,2.1,6.8,5.6,0,9.3,2,7.2,0,5.1,4.2,1.9,1.7,Low,0
51,Female,ML Engineer,2.7,Mid-size,Onsite,63.0,4.0,5.0,3,6.6,3.8,4.2,8.6,0,8.6,0,4.4,0,7.3,6.2,2.6,2.9,Low,0
32,Female,Data Scientist,5.5,Large,Hybrid,52.0,8.0,7.0,1,8.4,6.3,5.4,7.0,2,10.2,3,8.6,0,6.3,4.3,4.8,3.6,Moderate,0
49,Female,ML Engineer,0.0,MNC,Hybrid,55.0,9.0,4.0,2,10.0,2.4,7.8,7.5,5,9.6,2,7.1,1,5.2,3.4,1.8,1.6,Low,0
46,Female,Backend Developer,5.9,Large,Onsite,56.0,0.0,1.0,2,5.0,2.2,1.5,6.2,0,7.3,1,3.6,0,6.9,5.8,3.2,4.2,Moderate,0
54,Female,Data Scientist,3.8,Large,Remote,58.0,9.0,3.0,0,8.8,6.5,5.9,5.1,5,9.4,2,3.9,0,7.2,4.7,4.9,3.1,Low,0
22,Female,Data Scientist,8.6,Large,Hybrid,51.0,3.0,3.0,3,8.0,7.4,2.2,6.8,4,7.6,3,4.4,0,7.0,5.4,3.7,3.2,Low,0
48,Male,ML Engineer,4.7,Mid-size,Hybrid,49.0,9.0,3.0,3,6.0,2.2,6.8,7.7,3,11.0,2,6.3,0,6.1,4.5,2.6,1.3,Low,0
34,Female,Software Engineer,1.9,Startup,Hybrid,38.0,8.0,3.0,3,3.2,3.5,7.3,5.1,3,5.8,0,6.5,0,4.8,3.0,2.9,1.7,Low,0
24,Female,Software Engineer,3.8,MNC,Remote,49.0,5.0,2.0,0,4.7,4.5,7.1,5.5,2,5.8,1,6.0,1,6.0,3.2,3.1,1.0,Low,0
27,Male,DevOps,6.1,MNC,Remote,31.0,8.0,2.0,0,4.8,4.6,6.1,5.3,4,6.7,1,3.9,0,4.3,3.6,2.9,1.0,Low,0
29,Female,Software Engineer,5.6,Mid-size,Remote,52.0,7.0,3.0,0,5.2,6.3,5.0,7.0,6,8.2,2,5.1,0,6.1,4.2,2.6,2.0,Low,1
48,Male,Software Engineer,8.7,Startup,Onsite,30.0,8.0,3.0,1,6.1,1.0,2.4,4.9,2,6.8,4,5.9,1,7.2,5.0,4.6,3.3,Low,0
30,Female,DevOps,5.7,Startup,Remote,44.0,10.0,5.0,0,3.1,5.6,5.4,6.5,6,6.2,4,7.6,0,6.2,4.4,3.7,2.0,Low,0
54,Male,DevOps,12.1,Large,Remote,47.0,7.0,0.0,1,9.1,5.9,5.8,6.8,1,3.4,0,9.1,0,4.4,1.9,1.0,1.0,Low,0
45,Male,DevOps,9.9,Mid-size,Onsite,50.0,3.0,0.0,0,3.9,2.9,5.0,7.6,3,7.4,3,2.9,1,5.8,5.5,4.0,2.4,Low,0
36,Male,QA Engineer,6.5,Mid-size,Onsite,55.0,7.0,3.0,2,6.1,6.4,6.5,7.3,7,7.6,4,5.5,1,5.4,1.8,1.6,1.0,Low,0
53,Male,DevOps,5.2,Startup,Remote,52.0,8.0,5.0,1,4.7,8.5,7.1,5.2,3,10.6,3,6.2,0,6.0,5.0,3.6,2.2,Low,0
53,Male,Software Engineer,4.3,Large,Onsite,45.0,10.0,7.0,1,5.2,6.7,6.1,5.5,5,7.8,3,7.5,0,6.2,4.0,4.3,2.2,Low,0
45,Male,ML Engineer,1.2,Startup,Remote,54.0,11.0,5.0,0,9.5,3.3,2.3,8.6,4,6.1,3,8.1,0,8.2,4.8,3.1,4.8,Moderate,0
33,Male,Software Engineer,1.5,Startup,Hybrid,54.0,11.0,3.0,0,4.4,3.4,9.5,5.1,3,11.8,0,1.6,0,7.0,7.7,4.9,3.5,Low,0
23,Female,Frontend Developer,7.3,MNC,Onsite,48.0,1.0,3.0,0,6.3,6.1,4.3,7.3,3,8.4,1,7.7,0,5.8,3.9,2.8,1.8,Low,0
24,Male,Software Engineer,4.5,MNC,Hybrid,39.0,9.0,5.0,2,10.0,4.3,2.3,6.6,4,4.1,2,3.7,0,6.6,5.8,3.0,2.0,Low,0
38,Female,DevOps,0.7,Large,Remote,48.0,1.0,2.0,0,5.3,6.7,2.0,8.4,0,13.4,0,2.4,0,5.6,6.8,2.8,3.5,Low,0
23,Male,Data Scientist,0.6,Startup,Onsite,48.0,2.0,8.0,0,5.3,4.8,5.9,4.7,3,11.5,3,3.0,1,5.3,3.8,3.1,1.4,Low,0
23,Female,Software Engineer,3.5,MNC,Remote,41.0,8.0,3.0,1,4.3,8.6,4.4,7.0,4,7.7,0,6.1,0,5.9,4.5,3.8,1.6,Low,0
49,Female,DevOps,5.0,Startup,Hybrid,53.0,7.0,2.0,0,7.1,8.1,4.9,5.2,1,4.2,3,5.0,0,6.6,4.5,3.7,1.9,Low,0
44,Male,Data Scientist,5.4,Mid-size,Onsite,53.0,7.0,3.0,1,5.3,6.7,7.0,6.4,0,10.4,1,9.8,1,5.9,4.1,2.2,1.0,Low,0
53,Male,QA Engineer,4.6,Large,Hybrid,40.0,2.0,0.0,1,2.1,7.6,4.4,7.6,0,7.2,2,1.4,1,4.6,5.6,3.0,1.0,Low,0
54,Male,Frontend Developer,4.0,MNC,Remote,52.0,9.0,4.0,1,4.4,5.2,7.0,5.2,1,4.7,2,6.5,1,6.7,5.9,3.5,2.6,Low,0
22,Male,Software Engineer,5.9,Mid-size,Remote,45.0,15.0,2.0,2,3.9,5.9,7.8,8.6,1,11.2,1,5.6,0,4.0,3.3,1.5,1.4,Low,0
40,Female,Product Manager,6.5,Mid-size,Hybrid,51.0,2.0,4.0,1,3.4,7.7,3.5,7.1,3,8.3,2,6.6,0,6.9,4.8,5.3,2.4,Low,0
23,Female,Backend Developer,9.6,MNC,Onsite,54.0,0.0,3.0,0,6.9,8.2,4.7,4.2,4,8.0,3,3.6,0,5.7,5.4,4.1,3.7,Moderate,1
47,Male,QA Engineer,1.2,Mid-size,Hybrid,36.0,14.0,5.0,1,8.0,6.4,4.5,5.8,3,5.5,0,6.7,0,6.8,4.6,2.6,2.2,Low,1
53,Male,Software Engineer,3.6,Large,Onsite,39.0,11.0,3.0,3,5.6,4.0,6.1,5.4,2,6.8,3,4.5,1,6.1,4.7,4.4,1.2,Low,0
